Points;50 m;50 m (i);80 m (i);80 m;120 m;1 000 m (i);1 000 m;2 000 m;50 m Haies (76);50 m Haies (76) (i);80 m Haies (76);200 m Haies (76);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (3 kg) (i);Poids (3 kg);Disque (800 g);Marteau (3 kg);Javelot (500 g);3 000 m Marche (i);3 000 m Marche;4 × 60 m;4 × 60 m Mixte
50;6,42;6,42;9,71;9,71;14,24;0,001975116;0,001975116;0,00435463;7,39;7,39;11,1;27,77;1,8;1,8;3,91;3,91;6,57;6,57;13,31;13,31;15,74;15,74;48,99;62,64;57,78;0,00949456;0,00949456;29,62;27,84
49;6,47;6,47;9,78;9,78;14,35;0,001995833;0,001995833;0,004414236;7,44;7,44;11,23;28,11;1,77;1,77;3,79;3,79;6,38;6,38;13,02;13,02;15,12;15,12;46,8;60,44;53,78;0,009803356;0,009803356;29,75;28,03
48;6,53;6,53;9,85;9,85;14,47;0,002016435;0,002016435;0,004473958;7,49;7,49;11,36;28,46;1,74;1,74;3,68;3,68;6,2;6,2;12,73;12,73;14,51;14,51;44,61;58,24;49,78;0,010112153;0,010112153;29,89;28,23
47;6,58;6,58;9,92;9,92;14,59;0,002037153;0,002037153;0,004527431;7,54;7,54;11,49;28,81;1,71;1,71;3,57;3,57;6,02;6,02;12,45;12,45;13,9;13,9;42,42;56,05;45,79;0,010421065;0,010421065;30,02;28,42
46;6,64;6,64;9,99;9,99;14,71;0,002057755;0,002057755;0,004593287;7,59;7,59;11,62;29,16;1,68;1,68;3,46;3,46;5,84;5,84;12,16;12,16;13,29;13,29;40,23;53,85;41,79;0,010729861;0,010729861;30,16;28,62
45;6,7;6,7;10,07;10,07;14,83;0,002078472;0,002078472;0,004652894;7,64;7,64;11,76;29,51;1,65;1,65;3,35;3,35;5,66;5,66;11,88;11,88;12,68;12,68;38,05;51,66;37,8;0,011038657;0,011038657;30,3;28,82
44;6,76;6,76;10,18;10,18;14,98;0,002108218;0,002108218;0,004698958;7,74;7,74;11,92;29,8;1,62;1,62;3,28;3,28;5,55;5,55;11,7;11,7;12,29;12,29;36,76;49,88;36,39;0,011187037;0,011187037;30,42;28,94
43;6,83;6,83;10,29;10,29;15,13;0,002137963;0,002137963;0,004744907;7,84;7,84;12,08;30,1;1,6;1,6;3,22;3,22;5,44;5,44;11,53;11,53;11,9;11,9;35,47;48,1;34,99;0,011335417;0,011335417;30,55;29,07
42;6,9;6,9;10,4;10,4;15,29;0,002167708;0,002167708;0,004790972;7,94;7,94;12,24;30,4;1,58;1,58;3,16;3,16;5,33;5,33;11,36;11,36;11,51;11,51;34,19;46,32;33,59;0,011484028;0,011484028;30,68;29,2
41;6,97;6,97;10,51;10,51;15,44;0,002197338;0,002197338;0,004836921;8,04;8,04;12,41;30,7;1,56;1,56;3,09;3,09;5,23;5,23;11,18;11,18;11,12;11,12;32,9;44,54;32,18;0,011632176;0,011632176;30,81;29,33
40;7,04;7,04;10,62;10,62;15,6;0,002227083;0,002227083;0,004882986;8,14;8,14;12,57;31;1,54;1,54;3,03;3,03;5,12;5,12;11,01;11,01;10,73;10,73;31,61;42,76;30,78;0,011780556;0,011780556;30,94;29,46
39;7,1;7,1;10,73;10,73;15,75;0,002256829;0,002256829;0,004929051;8,24;8,24;12,73;31,3;1,51;1,51;2,97;2,97;5,01;5,01;10,84;10,84;10,34;10,34;30,33;40,98;29,38;0,011928935;0,011928935;31,07;29,59
38;7,17;7,17;10,84;10,84;15,9;0,002286574;0,002286574;0,004975;8,34;8,34;12,89;31,6;1,49;1,49;2,9;2,9;4,9;4,9;10,66;10,66;9,95;9,95;29,04;39,2;27,97;0,012077315;0,012077315;31,2;29,72
37;7,24;7,24;10,96;10,96;16,06;0,002316319;0,002316319;0,005021065;8,44;8,44;13,06;31,9;1,47;1,47;2,84;2,84;4,8;4,8;10,49;10,49;9,57;9,57;27,75;37,43;26,57;0,012225579;0,012225579;31,32;29,85
36;7,31;7,31;11,07;11,07;16,21;0,002341088;0,002341088;0,005067014;8,54;8,54;13,22;32,2;1,45;1,45;2,78;2,78;4,69;4,69;10,32;10,32;9,18;9,18;26,47;35,65;25,17;0,012373958;0,012373958;31,45;29,98
35;7,38;7,38;11,18;11,18;16,37;0,00237581;0,00237581;0,005113079;8,64;8,64;13,38;32,5;1,43;1,43;2,71;2,71;4,58;4,58;10,14;10,14;8,79;8,79;25,18;33,87;23,76;0,012522338;0,012522338;31,58;30,11
34;7,44;7,44;11,29;11,29;16,52;0,002405556;0,002405556;0,005159144;8,74;8,74;13,54;32,8;1,4;1,4;2,65;2,65;4,47;4,47;9,97;9,97;8,4;8,4;23,89;32,09;22,36;0,012670718;0,012670718;31,71;30,24
33;7,51;7,51;11,4;11,4;16,67;0,002431019;0,002431019;0,005205093;8,84;8,84;13,71;33,1;1,38;1,38;2,59;2,59;4,37;4,37;9,8;9,8;8,01;8,01;22,61;30,31;20,96;0,012819097;0,012819097;31,84;30,37
32;7,58;7,58;11,51;11,51;16,83;0,002464931;0,002464931;0,005247338;8,94;8,94;13,87;33,4;1,36;1,36;2,52;2,52;4,26;4,26;9,62;9,62;7,62;7,62;21,32;28,53;19,55;0,012967477;0,012967477;31,97;30,5
31;7,65;7,65;11,62;11,62;16,98;0,002494676;0,002494676;0,005297106;9,04;9,04;14,03;33,7;1,34;1,34;2,46;2,46;4,15;4,15;9,45;9,45;7,23;7,23;20,03;26,75;18,15;0,013115856;0,013115856;32,1;30,63
30;7,72;7,72;11,74;11,74;17,14;0,002524421;0,002524421;0,005343171;9,15;9,15;14,2;34;1,32;1,32;2,4;2,4;4,05;4,05;9,28;9,28;6,85;6,85;18,75;24,98;16,75;0,013264236;0,013264236;32,23;30,76
29;7,74;7,74;11,77;11,77;17,19;0,002535417;0,002535417;0,005363773;9,19;9,19;14,3;34,17;1,31;1,31;2,37;2,37;4,02;4,02;9,23;9,23;6,79;6,79;18,51;24,57;16,51;0,013348148;0,013348148;32,29;30,84
28;7,76;7,76;11,81;11,81;17,24;0,002546412;0,002546412;0,005387963;9,24;9,24;14,41;34,34;-;-;2,35;2,35;4;4;9,18;9,18;6,73;6,73;18,27;24,17;16,27;0,013431944;0,013431944;32,35;30,93
27;7,78;7,78;11,84;11,84;17,29;0,002557407;0,002557407;0,005404861;9,28;9,28;14,51;34,51;1,3;1,3;2,32;2,32;3,97;3,97;9,14;9,14;6,67;6,67;18,04;23,77;16,03;0,013515856;0,013515856;32,42;31,02
26;7,8;7,8;11,88;11,88;17,34;0,002568403;0,002568403;0,005425347;9,33;9,33;14,62;34,68;-;-;2,3;2,3;3,95;3,95;9,09;9,09;6,61;6,61;17,8;23,36;15,79;0,013599653;0,013599653;32,48;31,1
25;7,82;7,82;11,92;11,92;17,4;0,002579514;0,002579514;0,005445949;9,38;9,38;14,73;34,85;1,29;1,29;2,27;2,27;3,93;3,93;9,05;9,05;6,55;6,55;17,57;22,96;15,55;0,013683565;0,013683565;32,55;31,19
24;7,84;7,84;11,95;11,95;17,45;0,00264838;0,00264838;0,005466551;9,42;9,42;14,83;35,02;-;-;2,25;2,25;3,9;3,9;9;9;6,49;6,49;17,33;22,56;15,31;0,013772569;0,013772569;32,61;31,28
23;7,86;7,86;11,99;11,99;17,5;0,002601505;0,002601505;0,005487037;9,47;9,47;14,94;35,19;1,28;1,28;2,22;2,22;3,88;3,88;8,95;8,95;6,43;6,43;17,09;22,15;15,07;0,013851273;0,013851273;32,67;31,36
22;7,88;7,88;12,02;12,02;17,55;0,0026125;0,0026125;0,005507639;9,51;9,51;15,04;35,36;-;-;2,2;2,2;3,85;3,85;8,91;8,91;6,37;6,37;16,86;21,75;14,83;0,013935069;0,013935069;32,74;31,45
21;7,9;7,9;12,06;12,06;17,6;0,002623495;0,002623495;0,005528125;9,56;9,56;15,15;35,53;1,27;1,27;2,17;2,17;3,83;3,83;8,86;8,86;6,31;6,31;16,62;21,35;14,59;0,014018981;0,014018981;32,8;31,54
20;7,92;7,92;12,1;12,1;17,66;0,002634491;0,002634491;0,005548727;9,61;9,61;15,26;35,71;-;-;2,15;2,15;3,81;3,81;8,82;8,82;6,26;6,26;16,39;20,95;14,35;0,014102778;0,014102778;32,87;31,63
19;7,96;7,96;12,17;12,17;17,77;0,002657755;0,002657755;0,005592361;9,71;9,71;15,45;36,02;1,25;1,25;2,11;2,11;3,76;3,76;8,73;8,73;6,15;6,15;16,01;20,39;13,96;0,014250231;0,014250231;33,03;31,82
18;8,01;8,01;12,25;12,25;17,88;0,002681019;0,002681019;0,00563588;9,81;9,81;15,65;36,34;1,24;1,24;2,07;2,07;3,71;3,71;8,65;8,65;6,04;6,04;15,63;19,84;13,58;0,014397801;0,014397801;33,2;32,01
17;8,05;8,05;12,33;12,33;18;0,002704167;0,002704167;0,005679514;9,91;9,91;15,85;36,65;1,23;1,23;2,03;2,03;3,66;3,66;8,56;8,56;5,94;5,94;15,26;19,29;13,19;0,014545255;0,014545255;33,36;32,2
16;8,1;8,1;12,41;12,41;18,11;0,002727431;0,002727431;0,005723032;10,01;10,01;16,05;36,97;1,22;1,22;1,99;1,99;3,61;3,61;8,48;8,48;5,83;5,83;14,88;18,74;12,81;0,014692824;0,014692824;33,53;32,39
15;8,15;8,15;12,49;12,49;18,23;0,002750694;0,002750694;0,005766667;10,12;10,12;16,25;37,29;1,21;1,21;1,96;1,96;3,56;3,56;8,4;8,4;5,73;5,73;14,51;18,19;12,43;0,014840509;0,014840509;33,7;32,58
14;8,34;8,34;12,8;12,8;18,58;0,002823727;0,002823727;0,005844097;10,45;10,45;16,68;37,95;1,19;1,19;1,92;1,92;3,44;3,44;8,23;8,23;5,53;5,53;14,01;17,56;11,92;0,015060532;0,015060532;33,93;32,86
13;8,53;8,53;13,12;13,12;18,93;0,002896759;0,002896759;0,005921528;10,79;10,79;17,12;38,62;1,17;1,17;1,89;1,89;3,32;3,32;8,06;8,06;5,33;5,33;13,52;16,94;11,42;0,015280671;0,015280671;34,17;33,15
12;8,72;8,72;13,44;13,44;19,28;0,002969792;0,002969792;0,006004977;11,13;11,13;17,56;39,29;1,15;1,15;1,86;1,86;3,2;3,2;7,89;7,89;5,13;5,13;13,02;16,31;10,91;0,015500926;0,015500926;34,4;33,43
11;8,91;8,91;13,76;13,76;19,63;0,003042708;0,003042708;0,006076273;11,47;11,47;18;39,96;1,13;1,13;1,82;1,82;3,08;3,08;7,72;7,72;4,93;4,93;12,53;15,69;10,41;0,015727199;0,015727199;34,64;33,72
10;9,1;9,1;14,07;14,07;19,98;0,003124074;0,003124074;0,006153704;11,8;11,8;18,43;40,63;1,11;1,11;1,79;1,79;2,97;2,97;7,55;7,55;4,74;4,74;12,03;15,06;9,9;0,015941319;0,015941319;34,87;34,01
9;9,29;9,29;14,39;14,39;20,33;0,003188773;0,003188773;0,006231134;12,14;12,14;18,87;41,3;1,09;1,09;1,76;1,76;2,85;2,85;7,38;7,38;4,54;4,54;11,54;14,44;9,4;0,016161458;0,016161458;35,11;34,29
8;9,49;9,49;14,71;14,71;20,69;0,003261806;0,003261806;0,006308565;12,48;12,48;19,31;41,97;1,07;1,07;1,73;1,73;2,73;2,73;7,21;7,21;4,34;4,34;11,05;13,81;8,9;0,016381713;0,016381713;35,35;34,58
7;9,68;9,68;15,03;15,03;21,04;0,003334838;0,003334838;0,00638588;12,82;12,82;19,75;42,63;1,05;1,05;1,69;1,69;2,61;2,61;7,04;7,04;4,14;4,14;10,55;13,19;8,39;0,016601968;0,016601968;35,58;34,87
6;9,87;9,87;15,35;15,35;21,39;0,00340787;0,00340787;0,00646331;13,16;13,16;20,19;43,3;1,03;1,03;1,66;1,66;2,49;2,49;6,87;6,87;3,94;3,94;10,06;12,56;7,89;0,016822106;0,016822106;35,82;35,15
5;10,06;10,06;15,66;15,66;21,74;0,003480903;0,003480903;0,006540741;13,49;13,49;20,62;43,97;1,01;1,01;1,63;1,63;2,38;2,38;6,7;6,7;3,75;3,75;9,56;11,94;7,38;0,017042361;0,017042361;36,05;35,44
4;10,25;10,25;15,98;15,98;22,09;0,003553819;0,003553819;0,006618171;13,83;13,83;21,06;44,64;0,99;0,99;1,59;1,59;2,26;2,26;6,53;6,53;3,55;3,55;9,07;11,31;6,88;0,0172625;0,0172625;36,29;35,73
3;10,44;10,44;16,3;16,3;22,44;0,003626852;0,003626852;0,006695486;14,17;14,17;21,5;45,31;0,97;0,97;1,56;1,56;2,14;2,14;6,36;6,36;3,35;3,35;8,57;10,69;6,37;0,017482755;0,017482755;36,52;36,01
2;10,63;10,63;16,62;16,62;22,79;0,003699884;0,003699884;0,006772917;14,51;14,51;21,94;45,98;0,95;0,95;1,53;1,53;2,02;2,02;6,19;6,19;3,15;3,15;8,08;10,06;5,87;0,017702894;0,017702894;36,76;36,3
1;10,83;10,83;16,94;16,94;23,15;0,003772917;0,003772917;0,006850347;14,85;14,85;22,38;46,65;0,93;0,93;1,5;1,5;1,91;1,91;6,02;6,02;2,96;2,96;7,59;9,44;5,37;0,017923148;0,017923148;37;36,59
1;20;20;30;30;40;0,004166667;0,004166667;0,006944444;20;20;30;30;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,020833333;0,020833333;60;60
